"sport","injury"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","Muscular"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","BrokenBone"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","Concussion"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Martial","None"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","Muscular"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","BrokenBone"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","Concussion"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
"Soccer","None"
