"gen","death"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Shot"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","Stabbed"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","BFT"
"Male","Other"
"Male","Other"
"Male","Other"
"Male","Other"
"Male","Other"
"Male","Other"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Shot"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","Stabbed"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","BFT"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
"Female","Other"
